ts_epoch,ts_iso,cpu_pct,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,temp_c,throttled,mem_used_mb,mem_avail_mb,swap_used_mb,disk_read_kbs,disk_write_kbs,proc_pid,proc_cpu_pct,proc_rss_mb,power_w,w_0V8_AON,w_0V8_SW,w_1V1_SYS,w_1V8_SYS,w_3V3_ADC,w_3V3_DAC,w_3V3_SYS,w_3V7_WL_SW,w_BATT,w_DDR_VDD2,w_DDR_VDDQ,w_EXT5V,w_HDMI,w_VDD_CORE
1789916940.387,2026-09-20T23:09:00,0.0,0.0,0.0,0.0,1.0,1500,1500,1500,1500,44.1,0x0,3213,4849,268,0.0,0.0,106778,0.0,6100.5,1.891,0.0025,0.2755,0.1957,0.2214,0.0016,0,0.1718,0.3512,0,0.0087,0,0,0.1228,0.5394
1789916941.405,2026-09-20T23:09:01,0.5,0.0,1.0,1.0,0.0,1600,1600,1600,1600,45.2,0x0,3214,4849,268,0.0,0.0,106778,0.0,6100.5,1.805,0.0025,0.2708,0.1934,0.2246,0.0008,0,0.1746,0,0,0.0097,0,0,0.1267,0.8022
1789916942.425,2026-09-20T23:09:02,0.2,0.0,0.0,1.0,0.0,1500,1500,1500,1500,45.2,0x0,3209,4853,268,0.0,0.0,106778,0.0,6100.5,1.558,0.0027,0.2712,0.194,0.2161,0.0016,0.0004,0.1854,0.0072,0,0.0065,0,0,0.1269,0.5464
1789916943.443,2026-09-20T23:09:03,0.5,1.0,0.0,1.9,0.0,1500,1500,1500,1500,44.6,0x0,3208,4854,268,0.0,0.0,106778,0.0,6100.5,1.546,0.0027,0.2697,0.1954,0.2239,0,0.0004,0.1714,0.0072,0,0.0098,0,0,0.1269,0.5392
1789916944.461,2026-09-20T23:09:04,0.5,0.0,0.0,1.0,0.0,1500,1500,1500,1500,44.6,0x0,3209,4853,268,0.0,0.0,106778,0.0,6100.5,1.538,0.0026,0.2682,0.1973,0.2221,0,0.0004,0.1721,0.0036,0,0.0032,0,0,0.1289,0.5392
1789916945.478,2026-09-20T23:09:05,0.2,0.0,0.0,0.0,0.0,1500,1500,1500,1500,44.6,0x0,3207,4856,268,0.0,0.0,106778,0.0,6100.5,1.538,0.0026,0.2719,0.1967,0.2159,0,0,0.1714,0,0,0.0076,0,0,0.1326,0.5394
1789916946.496,2026-09-20T23:09:06,0.5,0.0,0.0,1.0,0.0,1600,1600,1600,1600,43.5,0x0,3207,4855,268,0.0,0.0,106778,0.0,6100.5,1.568,0.0025,0.2685,0.1964,0.2204,0.0008,0,0.1843,0,0,0.0227,0,0,0.1262,0.5456
1789916947.517,2026-09-20T23:09:07,0.2,0.0,0.0,1.9,0.0,1600,1600,1600,1600,45.2,0x0,3206,4856,268,0.0,0.0,106778,0.0,6100.5,1.808,0.0026,0.27,0.1934,0.2256,0,0,0.1783,0,0,0.0086,0,0,0.1273,0.8017
1789916948.538,2026-09-20T23:09:08,0.2,0.0,0.0,1.0,0.0,1500,1500,1500,1500,44.6,0x0,3205,4858,268,0.0,0.0,106778,0.0,6100.5,1.526,0.0025,0.2688,0.1945,0.2214,0,0.0004,0.1653,0,0,0.0065,0,0,0.1275,0.5394
1789916949.557,2026-09-20T23:09:09,0.5,0.0,0.0,1.0,0.0,1500,1500,1500,1500,45.2,0x0,3205,4857,268,0.0,0.0,106778,0.0,6100.5,1.539,0.0026,0.27,0.194,0.2176,0,0,0.1716,0.0036,0,0.0065,0,0,0.1275,0.5458
