task,slot,end_epoch,end_iso,start_epoch,prompt_tokens,prompt_ms,prompt_tok_s,gen_tokens,gen_ms,gen_tok_s,total_ms
0,3,1789731852,2026-09-18T19:44:12+08:00,1789731692.834,1438,62665.42,22.95,343,96501.04,3.54,159166.46
349,3,1789731983,2026-09-18T19:46:23+08:00,1789731852.178,219,11267.2,19.44,420,119554.74,3.5,130821.94
771,3,1789732093,2026-09-18T19:48:13+08:00,1789731983.477,228,11449.22,19.91,343,98073.46,3.49,109522.68
1116,3,1789732250,2026-09-18T19:50:50+08:00,1789732092.468,168,8027.31,20.93,523,149505.05,3.49,157532.35
1641,3,1789732375,2026-09-18T19:52:55+08:00,1789732249.973,115,5973.06,19.25,421,119054.02,3.53,125027.08
2064,3,1789732448,2026-09-18T19:54:08+08:00,1789732375.235,92,4761.45,19.32,244,68003.53,3.57,72764.98
2310,2,1789732604,2026-09-18T19:56:44+08:00,1789732448.212,1127,47609.8,23.67,386,108178.31,3.56,155788.11
2702,2,1789733216,2026-09-18T20:06:56+08:00,1789732604.227,188,8593.49,21.88,2048,603179.76,3.39,611773.25
4752,2,1789733308,2026-09-18T20:08:28+08:00,1789733216.0,268,12198.62,21.97,286,79801.47,3.57,92000.09
5040,2,1789733338,2026-09-18T20:08:58+08:00,1789733308.231,121,5821.08,20.79,87,23948.3,3.59,29769.37
5129,2,1789733575,2026-09-18T20:12:55+08:00,1789733337.249,143,7022.84,20.36,817,230727.96,3.54,237750.8
5948,2,1789733662,2026-09-18T20:14:22+08:00,1789733575.656,123,6286.19,19.57,290,80058.16,3.61,86344.34
6240,2,1789734050,2026-09-18T20:20:50+08:00,1789733662.251,162,7677.31,21.1,1319,380071.81,3.47,387749.11
7561,1,1789734770,2026-09-18T20:32:50+08:00,1789734049.187,1689,75167.07,22.47,2048,645645.6,3.17,720812.67
9615,1,1789735374,2026-09-18T20:42:54+08:00,1789734770.727,268,13457.09,19.92,1878,589816.0,3.18,603273.09
11496,1,1789735603,2026-09-18T20:46:43+08:00,1789735374.193,273,13549.0,20.15,705,215258.39,3.27,228807.38
12204,1,1789735916,2026-09-18T20:51:56+08:00,1789735602.18,276,13364.37,20.65,978,300455.67,3.25,313820.04
13184,1,1789736581,2026-09-18T21:03:01+08:00,1789735916.089,344,16654.54,20.66,2048,648256.12,3.16,664910.67
15234,1,1789736768,2026-09-18T21:06:08+08:00,1789736580.878,179,8806.53,20.33,586,178315.26,3.28,187121.79
15822,1,1789736865,2026-09-18T21:07:45+08:00,1789736768.391,177,8653.95,20.45,290,87954.96,3.29,96608.9
16114,1,1789737182,2026-09-18T21:13:02+08:00,1789736865.0,636,31045.23,20.49,921,285955.15,3.22,317000.38
17038,1,1789737386,2026-09-18T21:16:26+08:00,1789737181.967,170,8386.67,20.27,644,195646.27,3.29,204032.94
17684,0,1789737674,2026-09-18T21:21:14+08:00,1789737386.458,1614,71588.31,22.55,714,215954.02,3.3,287542.33
18404,0,1789737782,2026-09-18T21:23:02+08:00,1789737673.906,276,13912.44,19.84,320,94181.14,3.39,108093.57
18727,0,1789738428,2026-09-18T21:33:48+08:00,1789737782.199,303,15098.85,20.07,2048,630702.48,3.25,645801.34
20777,3,1789738606,2026-09-18T21:36:46+08:00,1789738428.121,1391,62010.17,22.43,389,115869.1,3.35,177879.27
21172,3,1789738856,2026-09-18T21:40:56+08:00,1789738605.493,211,10480.61,20.13,802,240026.8,3.34,250507.41
21976,3,1789739124,2026-09-18T21:45:24+08:00,1789738855.993,271,12642.37,21.44,861,255364.85,3.37,268007.21
22839,3,1789739149,2026-09-18T21:45:49+08:00,1789739124.611,101,5166.42,19.55,66,19222.82,3.38,24389.24
22907,3,1789739256,2026-09-18T21:47:36+08:00,1789739148.822,126,6530.94,19.29,340,100646.78,3.37,107177.73
23249,3,1789739503,2026-09-18T21:51:43+08:00,1789739255.982,148,6841.15,21.63,815,240177.0,3.39,247018.15
24066,3,1789739648,2026-09-18T21:54:08+08:00,1789739502.678,184,8216.64,22.39,465,137105.5,3.38,145322.13
24533,2,1789740319,2026-09-18T22:05:19+08:00,1789739648.131,1384,60250.89,22.97,2048,610617.86,3.35,670868.75
26587,2,1789740758,2026-09-18T22:12:38+08:00,1789740318.913,146,7175.39,20.35,1472,431911.64,3.41,439087.03
28062,2,1789740975,2026-09-18T22:16:15+08:00,1789740758.334,461,21398.96,21.54,667,195267.21,3.41,216666.16
28732,2,1789741596,2026-09-18T22:26:36+08:00,1789740974.772,203,10326.14,19.66,2048,610901.41,3.35,621227.56
30782,2,1789741960,2026-09-18T22:32:40+08:00,1789741595.862,298,14118.32,21.11,1190,350019.57,3.4,364137.89
31974,2,1789742192,2026-09-18T22:36:32+08:00,1789741959.919,193,8617.43,22.4,777,223463.12,3.47,232080.55
32753,2,1789742826,2026-09-18T22:47:06+08:00,1789742192.553,368,17130.64,21.48,2048,616316.29,3.32,633446.93
34803,2,1789743195,2026-09-18T22:53:15+08:00,1789742825.451,259,12196.34,21.24,1216,357352.25,3.4,369548.6
36021,1,1789743279,2026-09-18T22:54:39+08:00,1789743195.041,1097,47109.14,23.29,129,36850.19,3.47,83959.33
36156,1,1789743313,2026-09-18T22:55:13+08:00,1789743279.0,98,5060.72,19.36,102,28939.54,3.49,34000.26
36260,1,1789743485,2026-09-18T22:58:05+08:00,1789743313.475,164,7911.87,20.73,560,163613.37,3.42,171525.24
36822,1,1789743747,2026-09-18T23:02:27+08:00,1789743484.569,299,14619.63,20.45,827,247811.64,3.33,262431.26
37651,1,1789743850,2026-09-18T23:04:10+08:00,1789743747.585,141,7050.78,20.0,333,95364.54,3.48,102415.32
37986,1,1789744054,2026-09-18T23:07:34+08:00,1789743850.037,301,14226.57,21.16,639,189736.08,3.36,203962.65
38627,1,1789744237,2026-09-18T23:10:37+08:00,1789744053.547,195,9306.86,20.95,593,174145.91,3.4,183452.77
39222,0,1789744492,2026-09-18T23:14:52+08:00,1789744237.359,2459,114321.08,21.51,446,140319.83,3.17,254640.9
39674,0,1789744620,2026-09-18T23:17:00+08:00,1789744492.113,366,18735.12,19.54,349,109151.85,3.19,127886.97
40025,0,1789744646,2026-09-18T23:17:26+08:00,1789744620.084,113,6923.98,16.32,63,18991.96,3.26,25915.94
40090,3,1789744750,2026-09-18T23:19:10+08:00,1789744646.236,1497,65454.41,22.87,133,38309.35,3.45,103763.76
40229,3,1789745057,2026-09-18T23:24:17+08:00,1789744749.832,464,21933.72,21.15,947,285234.12,3.32,307167.84
41178,3,1789745266,2026-09-18T23:27:46+08:00,1789745057.282,356,16691.53,21.33,640,192026.55,3.33,208718.08
41820,3,1789745505,2026-09-18T23:31:45+08:00,1789745265.784,432,20513.4,21.06,730,218702.63,3.33,239216.03
